id,name,hrID
8445176,Donald Audette,audetdo01
8445178,Bernie Brophy,brophbe01
8445168,Punch Broadbent,broadpu01
8445175,Les Auge,augele01
8445179,Willie Brossart,brosswi01
8445171,Connie Broden,brodeco01
8445177,Joe Augustine
8445169,Pierre Aubry,aubrypi01
8445167,Norm Aubin,aubinno01
8445150,Irwin Boyd,boydir01
8445153,Bart Bradley,bradlba01
8445289,Charlie Burns,burnsch01
8445326,George Carey,careyge01
8445291,Norm Burns,burnsno01
8445180,Adam Brown,brownad01
8445288,Bobby Burns,burnsbo01
8445148,Billy Boyd
8445324,Claude Cardin,cardicl01
8445321,Leo Carbol,carbole01
8445323,Ken Baumgartner,baumgke01
8445172,Andre Aubut
8445319,Earl Campbell,campbea01
8445166,Gerry Brisson,brissge01
8445320,Tod Campeau,campeto01
8445181,Arnie Brown,brownar01
8445433,Bob Bergloff,berglbo02
8445430,Michel Bergeron,bergemi01
8445144,Kirk Bowman,bowmaki01
8445142,Leo Bourgeault,bourgle01
8445146,Ralph Bowman,bowmara01
8445143,Clarence Boucher,bouchcl01
8445140,Conrad Bourcier,bourcco01
8445147,Jack Bownass,bownaja01
8445139,Barry Boughner,boughba01
8445136,Bobby Boucher,bouchbo01
8445134,Frank Boucher,bouchfr01
8445132,Butch Bouchard,bouchbu01
8445135,George Boucher
8445137,Andre Boudrias
8445130,Dick Bouchard,bouchdi01
8445133,Billy Boucher,bouchbi01
8445131,Edmond Bouchard,bouched01
8445128,Cam Botting,bottica01
8445141,Jean Bourcier,bourcje01
8445090,Fred Arthur,arthufr01
8445258,Glen Burdon,burdogl01
8445251,Douglas Baran
8445273,Dave Barr,barrda01
8445269,Blair Barnes,barnebl01
8445270,Norm Barnes,barneno01
8445257,Fred Burchell,burchfr01
8445274,Fred Barrett,barrefr01
8445272,Marco Baron,baronma01
8445266,Murray Baron,baronmu01
8445254,Ralph Barahona,barahra01
8445281,Bob Bassen,bassebo01
8445262,Marty Burke,burkema01
8445277,Robin Bartel,bartero01
8445265,John Barkwell
8445252,Bill Barber,barbebi01
8445253,Don Barber,barbedo01
8445275,Tom Barrasso,barrato01
8445259,Bill Burega,buregbi01
8445261,Eddie Burke,burkeed01
8445283,Len Barrie,barrile01
8445276,John Barrett,barrejo01
8445255,Billy Burch,burchbi01
8445267,Normand Baron,baronno01
8445349,Joe Carveth,carvejo01
8445347,Gerry Carson,carsoge01
8445381,Don Beaupre,beaupdo01
8445352,John Chad,chadjo01
8445162,Archie Briden,bridear01
8445350,Tom Cassidy,cassito01
8445351,Ray Ceresino,ceresra01
8445382,Stephane Beauregard
8445317,Dave Campbell,campbda01
8445343,Bill Carse,carsebi01
8445335,Robin Bawa,bawaro01
8445334,Gene Carrigan,carrige01
8445318,Don Campbell,campbdo01
8445338,Paul Baxter,baxtepa01
8445348,Billy Carter,cartebi01
8445316,Bryan Campbell,campbbr01
8445314,Harry Cameron,camerha01
8445331,Red Carr,carrre01
8445345,Bill Carson,carsobi01
8445306,Charles Cahill,cahilch01
8445308,Francis Cain,cainfr01
8445333,Lorne Carr,carrlo01
8445341,Dwight Carruthers,carrudw01
8445304,Terry Caffery,caffete01
8445315,Scotty Cameron,camersc01
8445309,Don Cairns,cairndo01
8445310,Norm Calladine,callano01
8445325,Steve Cardwell,cardwst01
8445410,Roger Belanger,belanro01
8445332,Gene Carr,carrge01
8445408,Jean Beliveau
