id,playerId,draftedByTeamId,teamPickHistory
17565,8480434,10,SJS-TOR
17566,8480884,5,PIT
17567,8480870,24,ANA
17568,8480860,53,MIN-ARI
17569,8480841,8,TOR-MTL
17570,8481018,6,BOS
17571,8480842,5,NSH-COL-PIT
17572,8480863,14,TBL
17573,8481019,52,WPG
17574,8480894,54,VGK
17575,8480885,22,WSH-MTL-EDM
17576,8480855,30,BUF-MIN
17577,8481020,21,OTT-PIT-COL
17578,8480890,53,ARI
17579,8480858,8,MTL
17580,8480831,17,DET
17581,8480805,23,VAN
17582,8480793,16,CHI
17583,8481021,3,NYR
17584,8480887,8,EDM-MTL
17585,8480819,2,NYI
17586,8480834,53,CAR-ARI
17587,8480875,16,CGY-ARI-CHI
17588,8480840,25,DAL
17589,8480977,10,STL-TOR
17590,8480880,6,FLA-BOS
17591,8480846,21,COL
17592,8480816,24,NJD-ANA
17593,8481022,29,CBJ
17594,8480882,17,PHI-DET
17595,8480978,26,LAK
17596,8480810,10,SJS-TOR
17597,8481023,17,PIT-DET
17598,8480843,24,ANA
17599,8480824,30,MIN
17600,8481024,28,WSH-CHI-ARI-SJS
17601,8480466,3,BOS-NYR
17602,8481025,13,NSH-FLA
17603,8481060,14,TBL
17604,8480979,52,WPG
17605,8480980,30,VGK-MIN
17606,8480791,15,WSH
17607,8480881,7,BUF
17608,8480836,9,OTT
17609,8480869,12,ARI-CAR
17610,8480854,8,MTL-LAK-MTL
17611,8481026,17,DET
17612,8480888,54,VAN-PIT-VGK
17613,8479374,25,CHI-DAL
17614,8480832,3,NYR
17615,8481061,28,EDM-MTL-SJS
17616,8480795,2,NYI
17617,8481027,12,CAR
17618,8481028,20,CGY
17619,8480876,25,DAL
17620,8480981,19,STL
17621,8481062,20,FLA-CGY
17622,8480837,21,COL
17623,8480886,1,NJD
17624,8481029,18,CBJ-NSH
17625,8481030,4,PHI
17626,8480850,26,LAK
17627,8481031,53,SJS-ARI
17628,8481032,54,PIT-TBL-VGK
17629,8480815,24,ANA
17630,8480982,7,MIN-BUF
17631,8480439,10,TOR
17632,8480838,6,BOS
17633,8480798,16,NSH-CHI
17634,8481063,14,TBL
17635,8480792,20,WPG-MTL-CGY
17636,8480889,8,VGK-FLA-SJS-MTL
17637,8481064,15,WSH
17638,8480983,7,BUF
17639,8481065,9,OTT
17640,8480984,4,ARI-PHI
17641,8480809,8,MTL
17642,8480985,5,DET-PIT
17643,8481066,23,VAN
17644,8481056,18,CHI-NSH
17645,8480986,3,NYR
17646,8480987,8,EDM-MTL
17647,8480799,2,NYI
17648,8481067,54,CAR-VGK
17649,8481033,1,CGY-ARI-NJD
17650,8480988,25,DAL
17651,8481070,19,STL
17652,8481034,16,FLA-SJS-MTL-CHI
17653,8479460,21,COL
17654,8481068,1,NJD
17655,8480828,53,CBJ-CHI-ARI
17656,8481035,4,PHI
17657,8481069,26,LAK
17658,8480989,53,SJS-ARI
17659,8481071,21,PIT-COL
17660,8481036,24,ANA
17661,8481037,30,MIN
17662,8480820,10,TOR
17663,8480990,52,BOS-WPG
17664,8480991,18,NSH
17665,8480992,14,TBL
17666,8480852,52,WPG
17667,8480993,54,VGK
17668,8480994,30,WSH-MIN
17669,8480995,10,BUF-TOR
17670,8480867,9,OTT
17671,8480996,53,ARI
17672,8481072,29,MTL-DET-CBJ
17673,8480997,17,DET
17674,8480998,15,VAN-WSH
17675,8480868,16,CHI
17676,8481038,3,NYR
17677,8480891,22,EDM
17678,8481039,26,NYI-LAK
17679,8481040,12,CAR
17680,8481041,20,CGY
17681,8480999,25,DAL
17682,8481000,19,STL
17683,8481073,13,FLA
17684,8481042,21,COL
17685,8480861,1,NJD
17686,8481001,29,CBJ
17687,8481057,4,PHI
17688,8480857,26,LAK
17689,8481002,28,SJS
17690,8481074,5,PIT
17691,8481003,24,ANA
17692,8480409,30,MIN
17693,8481075,54,TOR-VGK
17694,8481076,6,BOS
17695,8481077,28,NSH-SJS
17696,8481043,14,TBL
17697,8481044,52,WPG
17698,8480864,54,VGK
17699,8481045,23,WSH-VAN
17700,8481046,7,BUF
17701,8481078,9,OTT
17702,8480892,53,ARI
17703,8481079,8,MTL-PHI-MTL
17704,8481047,17,DET
17705,8481080,23,VAN
17706,8481004,16,CHI
17707,8481081,9,NYR-OTT
17708,8481048,22,EDM
17709,8481049,2,NYI
17710,8481050,12,CAR
17711,8481005,20,CGY
17712,8479646,25,DAL
17713,8481006,19,STL
17714,8481051,13,FLA
17715,8481007,21,COL
17716,8481052,1,NJD
17717,8480441,29,CBJ
17718,8481053,4,PHI
17719,8481008,14,LAK-TBL
17720,8481009,13,SJS-FLA
17721,8481010,54,PIT-VGK
17722,8481011,10,ANA-TOR
17723,8481012,30,MIN
17724,8481054,10,TOR
17725,8481082,6,BOS
17726,8481055,18,NSH
17727,8481083,14,TBL
17728,8481084,52,WPG
17729,8481085,3,VGK-CAR-NYR
17730,8480812,15,WSH
17740,8481559,1,NJD
17741,8481554,3,NYR
17742,8481523,16,CHI
17743,8481524,21,OTT-COL
17744,8481532,26,LAK
17745,8481542,17,DET
17746,8481528,7,BUF
17747,8481598,22,EDM
17748,8481533,24,ANA
17749,8481617,23,VAN
17750,8481599,53,PHI-ARI
17751,8481557,30,MIN
17752,8481519,13,FLA
17753,8481546,4,ARI-PHI
17754,8481540,8,MTL
17755,8481618,21,COL
17756,8481522,54,VGK
17757,8481581,25,DAL
17758,8481575,9,CBJ-OTT
17759,8481572,52,WPG-NYR-WPG
17760,8481591,5,PIT
17761,8481600,26,TOR-LAK
17762,8481601,2,NYI
17763,8481577,18,NSH
17764,8481580,15,WSH
17765,8481592,20,CGY
17766,8481518,14,TBL
17767,8481576,12,CAR
17768,8481530,24,SJS-BUF-ANA
17769,8481556,6,BOS
17770,8481564,7,STL-BUF
17771,8481596,9,OTT
17772,8481560,26,LAK
17773,8481553,4,NJD-NSH-PHI
17774,8481587,17,DET
17775,8481611,12,BUF-CAR
17776,8481544,9,NYR-CAR-OTT
17777,8481534,22,EDM
17778,8481605,24,ANA
17779,8481535,23,VAN
17780,8481527,54,PHI-SJS-VGK
17781,8481706,30,MIN
17782,8481568,16,CHI
17783,8481579,12,FLA-SJS-OTT-CAR
17784,8481585,18,ARI-PHI-NSH
17785,8481593,8,MTL
17786,8481563,21,COL
17787,8481552,28,VGK-SJS
17788,8481525,3,DAL-NYR
17789,8481239,26,CBJ-VGK-MTL-LAK
17790,8481547,52,WPG
17791,8481609,13,PIT-FLA
17792,8481582,10,TOR
17793,8481561,17,NYI-VGK-DET
17794,8481549,28,NSH-NJD-SJS
17795,8481517,15,WSH
17796,8481541,2,CGY-NYI
17797,8481548,3,TBL-NYR
17798,8481545,30,CAR-MIN
17799,8481607,17,SJS-DET
17800,8481537,1,BOS-NJD
17801,8481543,19,STL
17802,8481737,21,OTT-COL
17803,8481555,8,LAK-MTL
17804,8481619,18,NJD-EDM-PHI-NSH
17805,8481602,17,DET
17806,8481707,7,BUF
17807,8481708,3,NYR
17808,8481206,13,EDM-FLA
17809,8481536,1,ANA-NJD
17810,8481597,14,VAN-TBL
17811,8481521,4,PHI
17812,8481574,12,MIN-CAR
17813,8481594,5,CHI-ARI-PIT
17814,8481550,30,FLA-NSH-MIN
17815,8481558,53,ARI
17816,8481654,8,MTL
17817,8481595,21,COL
17818,8481604,54,VGK
17819,8481578,1,DAL-NJD
17820,8481655,13,CBJ-FLA
17821,8481583,1,WPG-VGK-SJS-NJD
17822,8481615,12,PIT-VGK-OTT-CAR
17823,8481614,10,TOR
17824,8481709,22,NYI-EDM
17825,8481613,54,NSH-VGK
17826,8481710,26,WSH-LAK
17827,8481590,20,CGY
17828,8481738,14,TBL
17829,8481562,12,CAR
17830,8481656,15,SJS-NJD-WSH
17831,8481739,6,BOS
17832,8481551,19,STL
17833,8481657,9,OTT
17834,8481606,26,LAK
17835,8481740,1,NJD
17836,8481621,17,DET
17837,8481711,53,BUF-PIT-ARI
17838,8481570,12,NYR-BOS-MIN-CAR
17839,8481712,22,EDM
17840,8481567,24,ANA
17841,8481741,7,VAN-BUF
17842,8481658,4,PHI
17843,8481659,29,MIN-PIT-FLA-CBJ
17844,8481616,16,CHI
17845,8481742,13,FLA
17846,8481713,53,ARI
17847,8481603,28,MTL-SJS
17848,8481743,18,COL-NSH
17849,8481539,54,VGK
17850,8481714,25,DAL
17851,8481715,3,CBJ-NYR
17852,8481695,52,WPG
17853,8481716,29,PIT-FLA-CBJ
17854,8481589,10,TOR
17855,8481717,20,NYI-CGY
17856,8481718,18,NSH
17857,8481566,1,WSH-NJD
17858,8481696,26,CGY-MTL-LAK
17859,8481719,14,TBL
17860,8481697,12,CAR
17861,8481660,23,SJS-BUF-VAN
17862,8481588,16,BOS-CHI
17863,8481720,10,STL-TOR
17864,8480355,9,OTT
17865,8481661,8,LAK-MTL
17866,8481744,1,NJD
17867,8481745,17,DET
17868,8481721,1,BUF-DET-WSH-NJD
17869,8481698,3,NYR
17870,8481746,8,EDM-MTL
17871,8481620,24,ANA
17872,8481192,23,VAN
17873,8481612,52,PHI-WPG
17874,8481520,54,MIN-VGK
17875,8481662,13,CHI-MTL-FLA
17876,8481531,13,FLA
17877,8481747,8,ARI-CHI-LAK-MTL
17878,8481573,54,MTL-VGK
17879,8481663,21,COL
17880,8481664,54,VGK
17881,8481665,25,DAL
17882,8481722,7,CBJ-DET-BUF
17883,8481748,52,WPG
17884,8481538,5,PIT
17885,8481565,10,TOR
17886,8481666,2,NYI
17887,8481749,18,NSH
17888,8481586,30,WSH-MTL-MIN
17889,8481723,20,CGY
17890,8481699,53,TBL-CHI-PIT-ARI
17891,8481724,12,CAR
17892,8481700,15,SJS-WSH
17893,8481610,6,BOS
17894,8481667,19,STL
17895,8481668,23,OTT-VAN
17896,8481750,26,LAK
17897,8481694,1,NJD
17898,8481725,17,DET
17899,8481751,7,BUF
17900,8481726,3,NYR
17901,8481752,22,EDM
17902,8481727,24,ANA
17903,8481669,28,VAN-SJS
17904,8481670,4,PHI
17905,8481569,30,MIN
17906,8481753,16,CHI
17907,8480438,13,FLA
17908,8481671,4,ARI-PHI
17909,8481672,8,MTL
17910,8481220,21,COL
17911,8481754,30,VGK-MIN
17912,8481755,25,DAL
17913,8481673,53,CBJ-ARI
17914,8481728,23,WPG-BUF-VAN
17915,8481729,53,PIT-ARI
17916,8481674,17,TOR-BUF-DET
17917,8481675,2,NYI
17918,8481730,18,NSH
17919,8481731,23,WSH-VAN
17920,8481756,12,CGY-CAR
17921,8481676,14,TBL
17922,8481677,12,CAR
17923,8481701,28,SJS
17924,8481702,6,BOS
17925,8481678,24,STL-ANA
17926,8481679,9,OTT
17927,8481732,26,LAK
17928,8481733,1,NJD
17929,8481680,17,DET
17930,8481757,17,BUF-DET
17931,8481681,6,NYR-BOS
17932,8481734,22,EDM
17933,8481682,16,ANA-CHI
17934,8481683,23,VAN
17935,8481735,4,PHI
17936,8481758,30,MIN
17937,8481684,14,CHI-TBL
17938,8481685,13,FLA
17939,8481686,53,ARI
17940,8481093,8,MTL-PHI-MTL
17941,8481529,21,COL
17942,8481703,5,VGK-PIT
17943,8481761,10,DAL-TOR
17944,8481759,3,CBJ-NYR
17945,8481687,8,WPG-MTL
17946,8481688,53,PIT-ARI
17947,8481689,19,TOR-STL
17948,8480371,2,NYI
17949,8481704,18,NSH
17950,8481705,5,WSH-SJS-PIT
17951,8481690,29,CGY-OTT-CBJ
17952,8481691,14,TBL
17953,8481692,20,CAR-CGY
17954,8481736,23,SJS-VAN
17955,8481760,12,BOS-NYR-CAR
17956,8481693,19,STL
18392,8482109,3,NYR
18393,8482124,26,LAK
18394,8482116,9,SJS-OTT
18395,8482078,17,DET
18396,8482105,9,OTT
18397,8482142,24,ANA
18398,8482125,1,NJD
18399,8482097,7,BUF
18400,8482079,30,MIN
18401,8482149,52,WPG
18402,8482137,18,NSH
18403,8482113,13,FLA
18404,8482093,12,TOR-CAR
18405,8482077,22,EDM
18406,8482099,10,PIT-TOR
18407,8482087,8,MTL
18408,8482117,16,CHI
18409,8482110,1,ARI-NJD
18410,8482073,3,CGY-NYR
18411,8482166,1,VAN-TBL-NJD
18412,8482475,29,CBJ
18413,8482148,15,CAR-NYR-CGY-WSH
18414,8482159,4,PHI
18415,8482074,20,WSH-CGY
18416,8482111,21,COL
18417,8482089,19,STL
18418,8482150,24,BOS-ANA
18419,8482092,9,NYI-OTT
18420,8482153,54,VGK
18421,8482145,25,DAL
18422,8482103,28,TBL-SJS
18423,8482171,17,DET
18424,8482162,9,OTT
18425,8482175,7,SJS-BUF
18426,8482169,26,LAK
18427,8482118,24,ANA
18428,8482177,30,NJD-NSH-MIN
18429,8482133,28,BUF-SJS
18430,8482143,30,MIN
18431,8482139,52,WPG
18432,8482080,12,NYR-CAR
18433,8482146,18,NSH
18434,8482476,13,FLA
18435,8482095,9,TOR-OTT
18436,8482122,26,EDM-DET-LAK
18437,8482123,16,PIT-VGK-CHI
18438,8482134,8,MTL
18439,8482136,8,CHI-MTL
18440,"",53,ARI
18441,8482165,20,CGY
18442,8482140,17,VAN-LAK-DET
18443,8482446,5,CBJ-OTT-PIT
18444,8482102,12,CAR
18445,8482126,4,PHI
18446,8482106,17,WSH-DET
18447,8482181,28,COL-WSH-SJS
18448,8482090,14,STL-MTL-TBL
18449,8482511,6,BOS
18450,8482130,10,NYI-OTT-TOR
18451,8482157,3,VGK-LAK-NYR
18452,8481102,9,DAL-VGK-OTT
18453,8482201,14,TBL
18454,8482131,17,DET
18455,8482158,10,OTT-TOR
18456,8482094,30,SJS-DET-MIN
18457,8482128,26,LAK
18458,8482178,24,ANA
18459,8482141,54,NJD-VGK
18460,8482100,12,BUF-CAR
18461,8482163,17,MIN-NSH-MIN-DET
18462,8482447,9,WPG-OTT
18463,8482173,20,NYR-CGY
18464,8482091,18,NSH
18465,8482104,13,FLA
18466,8482147,21,TOR-COL
18467,8482101,28,EDM-SJS
18468,8482477,5,PIT
18469,8482448,29,MTL-CBJ
18470,8482172,16,CHI
18471,8482183,20,ARI-COL-WSH-CGY
18472,8482176,16,CGY-CHI
18473,8482170,23,VAN
18474,8482155,26,CBJ-OTT-TOR-LAK
18475,8482076,1,CAR-NJD
18476,8482168,14,PHI-SJS-TBL
18477,8482121,19,WSH-MTL-STL
18478,8482088,13,COL-FLA
18479,8482478,19,STL
18480,8482479,6,BOS
18481,8482480,2,NYI
18482,8482512,54,VGK
18483,8482481,3,DAL-NYR
18484,8482144,14,TBL
18485,8482161,4,DET-TBL-PHI
18486,8482107,13,OTT-FLA
18487,8482513,20,SJS-MTL-BUF-CGY
18488,8482129,17,LAK-DET
18489,8482086,28,ANA-MTL-SJS
18490,8482084,1,NJD
18491,8482108,22,BUF-SJS-EDM
18492,8482482,18,MIN-NSH
18493,8482514,8,WPG-MTL
18494,8482193,3,NYR
18495,8482127,24,NSH-PHI-ANA
18496,8482098,13,FLA
18497,8482515,10,TOR
18498,8482135,17,EDM-DET
18499,8482449,5,PIT
18500,8482114,8,MTL
18501,8482208,16,CHI
18502,8482083,53,ARI
18503,8482450,26,CGY-LAK
18504,8482198,23,VAN
