id,name,abbreviation,nicknames,colors,logo,isActive
11,ATLANTA THRASHERS,ATL,THRASH,"#5C88DA,#041E42,#862633,#B76125,#FFA300,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Atlanta_Thrashers.svg/440px-Atlanta_Thrashers.svg.png,false
12,CAROLINA HURRICANES,CAR,"CANES,JERKS","#CC0000,#000,#A2AAAD,#76232F",https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Carolina_Hurricanes.svg/440px-Carolina_Hurricanes.svg.png,true
13,FLORIDA PANTHERS,FLA,CATS,"#C8102E,#041E42,#B9975B",https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Florida_Panthers_2016_logo.svg/440px-Florida_Panthers_2016_logo.svg.png,true
14,TAMPA BAY LIGHTNING,TBL,BOLTS,"#002868,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Tampa_Bay_Lightning_Logo_2011.svg/440px-Tampa_Bay_Lightning_Logo_2011.svg.png,true
15,WASHINGTON CAPITALS,WSH,"CAPS,SECOND ROUND EXIT","#C8102E,#041E42,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Washington_Capitals.svg/440px-Washington_Capitals.svg.png,true
16,CHICAGO BLACKHAWKS,CHI,HAWKS,"#CF0A2C,#000,#FF671B,#00833E,#FFD100,#D18A00,#001970,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Chicago_Blackhawks_logo.svg/440px-Chicago_Blackhawks_logo.svg.png,true
17,DETROIT RED WINGS,DET,"DEAD WINGS,WINGS","#CE1126,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Detroit_Red_Wings_logo.svg/440px-Detroit_Red_Wings_logo.svg.png,true
18,NASHVILLE PREDATORS,NSH,"PREDS,SMASHVILLE","#FFB81C,#041E42,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Nashville_Predators_Logo_%282011%29.svg/440px-Nashville_Predators_Logo_%282011%29.svg.png,true
19,ST. LOUIS BLUES,STL,"NOTES,THE NOTES","#002F87,#FCB514,#041E42,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/St._Louis_Blues_logo.svg/440px-St._Louis_Blues_logo.svg.png,true
20,CALGARY FLAMES,CGY,"FLAMING SNOT DONKEYS,FLAMING C'S","#C8102E,#F1BE48,#111,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Calgary_Flames_Logo.svg/440px-Calgary_Flames_Logo.svg.png,true
21,COLORADO AVALANCHE,COL,AVS,"#6F263D,#236192,#A2AAAD,#000",https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Colorado_Avalanche_logo.svg/440px-Colorado_Avalanche_logo.svg.png,true
22,EDMONTON OILERS,EDM,SPOILERS,"#FF4C00,#041E42",https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Logo_Edmonton_Oilers.svg/440px-Logo_Edmonton_Oilers.svg.png,true
23,VANCOUVER CANUCKS,VAN,"NUCKS,CANUCKLEHEADS","#00205B,#00843D,#041C2C,#99999A,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Vancouver_Canucks_logo.svg/440px-Vancouver_Canucks_logo.svg.png,true
24,ANAHEIM DUCKS,ANA,MIGHTY DUCKS,"#F47A38,#B9975B,#C1C6C8,#000,#00685E,#532A44,#FCC72C,#241E34",https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Anaheim_Ducks.svg/440px-Anaheim_Ducks.svg.png,true
25,DALLAS STARS,DAL,SHERIFFS,"#006847,#8F8F8C,#111",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Dallas_Stars_logo_%282013%29.svg/440px-Dallas_Stars_logo_%282013%29.svg.png,true
26,LOS ANGELES KINGS,LAK,MONARCHS,"#A2AAAD,#111,#FFF,#572A84,#FFC80C",https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Los_Angeles_Kings_logo.svg/440px-Los_Angeles_Kings_logo.svg.png,true
53,ARIZONA COYOTES,ARI,YOTES,"#8C2633,#E2D6B5,#000,#154734,#DDCBA4,#A9431E,#5F259F",https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Arizona_Coyotes.svg/440px-Arizona_Coyotes.svg.png,true
28,SAN JOSE SHARKS,SJS,"FINS,TUNA,TEAM TEAL","#006D75,#000,#EA7200,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/3/37/SanJoseSharksLogo.svg/440px-SanJoseSharksLogo.svg.png,true
29,COLUMBUS BLUE JACKETS,CBJ,"JACKETS,CANNONS","#002654,#CE1126,#A4A9AD",https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Columbus_Blue_Jackets_logo.svg/440px-Columbus_Blue_Jackets_logo.svg.png,true
30,MINNESOTA WILD,MIN,"MINNY,MILD,MANBEARPIGS","#154734,#A6192E,#EAAA00,#DDCBA4",https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Minnesota_Wild.svg/440px-Minnesota_Wild.svg.png,true
54,VEGAS GOLDEN KNIGHTS,VGK,"GOLDEN MISFITS,KNIGHTS","#B4975A,#333F42,#C8102E,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Vegas_Golden_Knights_logo.svg/440px-Vegas_Golden_Knights_logo.svg.png,true
52,WINNIPEG JETS,WPG,AIRFORCE,"#041E42,#004C97,#AC162C,#7B303E,#55565A,#8E9090,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Winnipeg_Jets_Logo_2011.svg/440px-Winnipeg_Jets_Logo_2011.svg.png,true
38,PITTSBURGH PIRATES,PIR,"","#000,#FCB932,#FFF,#F87A36",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Pittsburgh_Pirates_Logo.svg/440px-Pittsburgh_Pirates_Logo.svg.png,false
58,TORONTO ST. PATRICKS,TSP,"","#046A38,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Toronto_St._Patricks_logo.svg/440px-Toronto_St._Patricks_logo.svg.png,false
49,CLEVELAND BARONS,CLE,"","#C8102E,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Cleveland_Barons_%28NHL%29_logo.svg/440px-Cleveland_Barons_%28NHL%29_logo.svg.png,false
46,OAKLAND SEALS,OAK,"","#046A38,#0033A0,#FFF,#FFC72C,#009CA6",https://upload.wikimedia.org/wikipedia/en/thumb/1/17/California_Golden_Seals_Logo.svg/440px-California_Golden_Seals_Logo.svg.png,false
44,NEW YORK AMERICANS,NYA,"","#0038A8,#C31126,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/d/da/New_York_Americans_Logo.svg/440px-New_York_Americans_Logo.svg.png,false
56,CALIFORNIA GOLDEN SEALS,CGS,"","#046A38,#0033A0,#FFF,#FFC72C,#009CA6",https://upload.wikimedia.org/wikipedia/en/thumb/1/17/California_Golden_Seals_Logo.svg/440px-California_Golden_Seals_Logo.svg.png,false
34,HARTFORD WHALERS,HFD,"","#00B140,#005EB8,#00205B,#046A38,#FED000,#8D9093,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Hartford_Whalers_Logo-79-92.svg/440px-Hartford_Whalers_Logo-79-92.svg.png,false
47,ATLANTA FLAMES,AFM,"","#C52032,#C2912C,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Atlanta_Flames_Logo.svg/440px-Atlanta_Flames_Logo.svg.png,false
31,MINNESOTA NORTH STARS,MNS,"","#009639,#FFD100,#000,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Minnesota_North_Stars_Logo_2.svg/440px-Minnesota_North_Stars_Logo_2.svg.png,false
32,QUEBEC NORDIQUES,QUE,"","#005EBB,#DA291C,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Quebec_Nordiques_Logo.svg/440px-Quebec_Nordiques_Logo.svg.png,false
37,HAMILTON TIGERS,HAM,"","#000,#FFC727,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Hamilton_Tigers_Logo.svg/440px-Hamilton_Tigers_Logo.svg.png,false
41,MONTREAL WANDERERS,MWN,"","#FFF,#E4002B",https://upload.wikimedia.org/wikipedia/en/thumb/e/e9/Montreal_Wanderers_logo.svg/440px-Montreal_Wanderers_logo.svg.png,false
42,QUEBEC BULLDOGS,QBD,"","#3E5EFF,#FFF",https://upload.wikimedia.org/wikipedia/commons/7/75/QuebecBulldogs.png,false
57,TORONTO ARENAS,TAN,"",#003087,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Toronto_Arenas_Logo.svg/440px-Toronto_Arenas_Logo.svg.png,false
39,PHILADELPHIA QUAKERS,QUA,"","#000,#F87A36,#FFF",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Logo_Philadelphia_Quakers.svg/440px-Logo_Philadelphia_Quakers.svg.png,false
48,KANSAS CITY SCOUTS,KCS,"","#003087,#C8102e,#FFC72C,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Kansas_City_Scouts_logo.svg/440px-Kansas_City_Scouts_logo.svg.png,false
45,ST. LOUIS EAGLES,SLE,"","#C60C30,#FFF",https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/St._Louis_Eagles_logo.svg/440px-St._Louis_Eagles_logo.svg.png,false
43,MONTREAL MAROONS,MMR,"","#FFF,#6F263D",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Montreal_Maroons_Logo.svg/440px-Montreal_Maroons_Logo.svg.png,false
