id,name
8445434,Bo Berglund
8445440,Craig Berube
8445439,Lex Chisholm
8445387,Guy Benoit
8445384,Rick Bennett
8445437,Timothy Bergland
8445388,Jim Bedard
8445386,Ed Belfour
8445438,Jean Claude Bergeron
8445435,Mike Berger
8445436,Jonas Bergqvist
8445369,Don Cherry
8445353,Sandy Beadle
8445362,Art Chapman
8445613,Bruce Boudreau
8445363,Bob Charlebois
8445403,Yves Belanger
8445400,Curt Bennett
8445397,Barry Beck
8445356,Darren Beals
8445611,Mike Bossy
8445359,Andre Champagne
8445358,Murph Chamberlain
8445637,Les Costello
8445615,Rick Bourbonnais
8445361,Kevin Beaton
8445628,Dan Bourbonnais
8445366,Dick Cherry
8445360,Frank Beaton
8445395,Eddy Beers
8445365,Mike Chernoff
8445416,Jim Benning
8445414,Bill Bennett
8445413,Drake Berehowsky
8445653,Randy Boyd
8445364,Lude Check
8445682,Greg Britz
8445690,Bob Brooke
8445415,Neil Belland
8445745,Gerry Couture
8445749,Bruce Cowick
8445734,Benoit Brunet
8445744,Billy Coutu
8445740,Jack Coughlin
8445747,Bob Blake
8445800,Ron Busniuk
8445742,Art Coulter
8445746,Rosie Couture
8445802,Rusty Crawford
8445743,John Ingram
8445796,Rod Buskas
8445798,Mike Busniuk
8445752,Randy Bucyk
8445738,Francis Breault
8445609,Dan Bouchard
8445869,Jean Paul Denis
8445865,Alex Delvecchio
8445868,Tony Demers
8445873,Corb Denneny
8445547,Bob Copp
8445529,Bill Cook
8445527,Eddie Convey
8445559,John Blum
8445579,Chuck Corrigan
8445857,Butch Deadmarsh
8445860,Drew Callander
8445850,Bob Davis
8445859,Brett Callighen
8445856,Don Deacon
8445852,Murray Davison
8445855,Billy Dea
8445848,Bob Davie
8445385,Bob Beers
8445853,Bob Dawes
8445858,Eric Calder
8445854,Hap Day
8445849,Buck Davies
8445835,Ian Cushenan
8445558,Rick Blight
8445843,Harold Darragh
8445874,Cy Denneny
8445872,Lulu Denis
8445866,Ab DeMarco Sr.
8445851,Lorne Davis
8445839,Frank Daley
8445572,Mike Corbett
8445601,Paulin Bordeleau
8445583,Michel Bolduc
8445573,Norm Corcoran
8445575,Peter Bondra
8445580,Rick Boh
8445571,Bert Corbeau
8445712,Dave Brown
8445557,Timo Blomqvist
8445654,Darren Boyko
8445618,Pat Boutette
8445631,Jean Boutin
8445672,Brian Bradley
8445667,Rick Bragnalo
8445470,Craig Billington
8445497,Sprague Cleghorn
8445465,Bob Chrystal
8445467,Jack Church
8445462,Daniel Berthiaume
8445468,Hank Ciesla
8445463,Don Biggs
8445530,Bob Cook
8445989,John Carter
8445792,Dave Burrows
8445825,Barry Cullen
8445832,Hugh Currie
8445789,Shawn Burr
